,Location,Average Salary by Location ($CLP),Occupation,Average Salary for Each Occupation by Location($CLP),Average National Salary for Each Occupation ($CLP)
1768,"Walton, Washington, Holmes & Bay Counties PUMA, FL",73085398.65969244,Other financial specialists,975077544.4705882,198319233.27190593
1769,"Mesa City (West) PUMA, AZ",73072722.96218516,Computer programmers,843974646.7741935,157446930.1405544
1770,"Greater Miami Lakes Town PUMA, FL",73049722.31648582,Real estate brokers & sales agents,306101739.76785713,86949545.40354295
1771,"Webster, Hardin, Hamilton, Butler, Wright, Grundy, Franklin & Humboldt Counties PUMA, IA",73022425.60362726,Veterinarians,409696441.77777785,171603331.8240765
1772,"Marion, Knox & Morrow Counties PUMA, OH",73004838.59771875,Physicians,884944306.0840336,418213885.2623563
1773,"Fayette County PUMA, PA",72998461.36921826,Physicians,995562297.0566038,418213885.2623563
1774,"Sandoval County PUMA, NM",72980131.34018266,Medical & health services managers,471876751.08661413,150928545.6935578
1775,"Huntington City PUMA, WV",72957610.17985418,Information security analysts,716968698.2222222,200694182.4692968
1776,"Bridgeport Town PUMA, CT",72931951.7220487,Parts salespersons,460908471.0769231,63915833.873723805
1777,"Mount Holly City PUMA, NC",72904454.48551233,Physicians,300463134.0,418213885.2623563
1778,"Tangipahoa & Washington Parishes PUMA, LA",72886778.9267268,"Lawyers, & judges, magistrates, & other judicial workers",421273444.47727275,251695543.47547695
1779,"Paradise (Northwest) & Winchester PUMA, NV",72875374.58928926,Physicians,680810660.2790699,418213885.2623563
1780,"High Point City PUMA, NC",72871223.23840207,Physicians,846023140.3943661,418213885.2623563
1781,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA, IL",72864054.09130475,Other financial clerks,911519225.7972974,154601498.81592458
1782,"Phoenix (Southwest) & Tolleson Cities PUMA, AZ",72860089.02334166,Producers & directors,843974654.2285713,131553561.66417725
1783,"Jackson City PUMA, TN",72846955.47427788,Physicians,428867445.62025315,418213885.2623563
1784,"Wilkes-Barre & Hazleton Cities PUMA, PA",72837239.4698433,Logisticians,995562303.2432433,103924443.86416192
1785,"Bristol City PUMA, TN",72827542.36378177,Personal financial advisors,901332148.9315069,224327492.92839324
1786,"Defiance, Williams, Henry & Paulding Counties PUMA, OH",72818974.25305372,Paramedics,884944323.3962264,105175704.53666554
1787,"South Chicago, Pullman, West Pullman, East Side & South Deering PUMA, IL",72807846.94078188,"Property, real estate, & community association managers",409696437.32342005,102579153.7714318
1788,"Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA, CA",72805743.30454037,Physician assistants,698956261.9137931,186531725.38923976
1789,"Selma, Kerman & Coalinga Cities PUMA, CA",72794945.77125598,Personal financial advisors,1157392395.6000001,224327492.92839324
1790,"Hutchinson City PUMA, KS",72703494.43709311,Sales managers,337999542.0,215569207.83716124
1791,"Washington, Caledonia, Orleans, Lamoille & Essex Counties PUMA, VT",72694831.6915817,Aircraft pilots & flight engineers,650619804.3664122,233771261.06901407
1792,"St. Louis County (Inner Ring North) PUMA, MO",72680975.61641626,"Dispatchers, except police, fire, and ambulance",602253744.7,72052887.94431394
1793,"Fountain City PUMA, CO",72665226.96923868,Physicians,688290014.6813186,418213885.2623563
1794,"Bluegrass Area Development District (Southeast) PUMA, KY",72654889.84075785,Construction managers,815295841.3670886,125294177.04186851
1795,"Hancock, Knox, Waldo & Lincoln Counties PUMA, ME",72637907.95531888,Physicians,679098104.8923078,418213885.2623563
1796,"Ogden (Southeast) & South Ogden Cities PUMA, UT",72624299.74146575,Diagnostic medical sonographers,860362537.8591549,149349949.37101868
1797,"Bedford, Garfield Heights & Maple Heights Cities PUMA, OH",72616849.29847123,Personal financial advisors,266302699.03448272,224327492.92839324
1798,"Phoenix City (West) PUMA, AZ",72605671.23867838,"Food servers, nonrestaurant",843974633.475728,29990456.455034666
1799,"Lewis, Klickitat & Skamania Counties PUMA, WA",72592466.03136542,Physicians,760063886.0300753,418213885.2623563
1800,"Coffee, Covington, Butler & Crenshaw Counties PUMA, AL",72575158.74259947,Pipelayers,800956571.4626865,86023140.4936068
1801,"Iberia, St. Mary & St. Martin Parishes PUMA, LA",72570320.69716407,"Claims adjusters, appraisers, examiners, & investigators",794811011.8762887,102214657.37263739
1802,"Enid City PUMA, OK",72567341.76095597,Cardiovascular technologists and technicians,846023166.5,155301057.0999721
1803,"Smith County (West)Tyler City PUMA, TX",72567263.1739229,Chief executives & legislators,623595854.5839417,285675917.3191395
1804,"The Dalles City PUMA, OR",72541082.73544829,Writers & authors,835780680.2926829,71545852.24949491
1805,"Pueblo City & Pueblo West PUMA, CO",72533695.70499213,Surgeons,1020144113.0666668,571660495.1726127
1806,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804617)",72481469.11569057,Physicians,471150898.3529412,418213885.2623563
1807,"Medford & Central Point Cities PUMA, OR",72452295.81407039,Chief executives & legislators,835780695.7647059,285675917.3191395
1808,"Crater Planning District Commission PUMA, VA",72450996.49192192,Sales managers,512120540.12227076,215569207.83716124
1809,"Ohio, Marshall, Hancock & Brooke Counties PUMA, WV",72438728.34714763,Firstline supervisors of food preparation & serving workers,599214009.048387,46954792.46382324
1810,"Pittsfield City PUMA, MA",72426816.29839249,Dentists,438439194.71250004,258225172.68799314
1811,"Lancaster City, East Lampeter, Lancaster & West Lampeter Townships PUMA, PA",72412127.83369593,Surgeons,995562345.7275748,571660495.1726127
1812,"Shreveport City (North) PUMA, LA",72400811.42764296,Computer & information systems managers,539171715.0821918,207310144.3027507
1813,"Chattanooga City (South & Central) PUMA, TN",72390608.26619738,Aircraft pilots & flight engineers,901332173.2727273,233771261.06901407
1814,"Philadelphia City (Near Northeast-East) PUMA, PA",72384134.55131105,Helpersproduction workers,995562358.3589743,35317468.06436979
1815,"Nashville-Davidson (North) PUMA, TN",72377664.42726104,"Doortodoor sales workers, news & street vendors, & related workers",357485356.7881774,24266152.94118063
1816,"Eastern Plains Region PUMA, CO",72366781.4297436,"Firstline supervisors of farming, fishing, & forestry workers",456128676.2222224,73845684.2667126
1817,"Waukegan, Zion, Benton & Newport Townships PUMA, IL",72335747.53826234,"Architects, except landscape and naval",337999554.1077844,157537300.90291384
1818,"Pennyrile Area Development District (North) PUMA, KY",72334047.54864086,"Healthcare support workers, all other, including medical equipment preparers",764480958.0612246,48787656.392833
1819,"Montgomery, Clinton, White, Carroll & Benton Counties PUMA, IN",72320194.79085863,Architectural & engineering managers,378969191.54716974,271146679.44610673
1820,"Taylor CountyAbilene City PUMA, TX",72311474.83504562,Physicians,732575134.8901734,418213885.2623563
1821,"Salisbury City PUMA, MD",72302821.45422903,Dietitians & nutritionists,1028338001.4339622,79053290.06782268
1822,"Buffalo City (West) PUMA, NY",72296061.26463446,Physicians,404311345.4541485,418213885.2623563
1823,"Greater North Miami Beach City (West) PUMA, FL",72286402.62753016,Chief executives & legislators,403638710.5053532,285675917.3191395
1824,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA, NC",72286144.35643823,"Food processing workers, all other",846023127.0638299,56684211.327737816
1825,"Coastal Bend COG (Northeast) PUMA, TX",72266380.01998219,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",631332216.2926828,61560745.6869894
1826,"Westmoreland County (East) PUMA, PA",72260276.18515877,Chiropractors,428132743.57142854,119155080.62719586
1827,"Mesquite City, Sunrise Manor (North), Moapa Valley & Nellis AFB PUMA, NV",72165993.22746995,Software developers,327757137.5421687,212761855.70685202
1828,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA, OK",72092324.33155012,Dietetic technicians and ophthalmic medical technicians,846023147.7777778,48087362.34086192
1829,"Chenango, Delaware & Broome (East) Counties PUMA, NY",72083178.74243663,"Securities, commodities, & financial services sales agents",614544644.3265306,235476111.74532747
1830,"Forrest, Lamar, Marion & Perry CountiesHattiesburg City PUMA, MS",72081139.93324566,Dentists,686241555.6363636,258225172.68799314
1831,"Grady, McClain & Pottawatomie (South) Counties PUMA, OK",72017164.12063713,Chief executives & legislators,486898596.41826934,285675917.3191395
1832,"South Central Kansas PUMA, KS",71928378.93703984,Podiatrists,899283691.1999999,228034384.44743314
1833,"Champaign & Urbana Cities PUMA, IL",71916056.32169773,Personal financial advisors,520724155.63199997,224327492.92839324
1834,"Windsor, Windham & Orange Counties PUMA, VT",71895591.61208944,Surgeons,854216999.8181819,571660495.1726127
1835,"Southern Georgia Regional Commission (East & Central) PUMA, GA",71879718.57786396,Physicians,964835108.1904762,418213885.2623563
1836,"Ector CountyOdessa City PUMA, TX",71864690.2196981,Physicians,421390784.0270271,418213885.2623563
1837,"Lincoln Trail Area Development District (East) PUMA, KY",71847349.83022083,Pharmacists,266302676.92682925,179214605.3943039
1838,"South Miami Heights PUMA, FL",71829712.71256712,Telemarketers,307272320.6349206,29329326.292079538
1839,"Mesa City (South Central) PUMA, AZ",71827711.73157823,"Miscellaneous engineers, including nuclear engineers",510902160.9418606,174746885.31786102
1840,"Dubois, Knox, Spencer, Perry, Pike & Crawford Counties PUMA, IN",71786427.14041163,Physicians,843974658.7894737,418213885.2623563
1841,"Panola, Tate, Coahoma, Tallahatchie, Tunica & Quitman Counties PUMA, MS",71750747.78473017,"Industrial engineers, including health & safety",686241545.6326531,147532692.77462214
1842,"St. Lucie County (South) PUMA, FL",71734932.67326717,Chief executives & legislators,456502184.7624309,285675917.3191395
1843,"Mattapan & Roxbury PUMA, MA",71733639.278636,Public relations specialists,1270058875.5728157,133230474.13072374
1844,"Rhea, Marion, Sequatchie, Grundy, Bledsoe & Meigs Counties PUMA, TN",71709340.75691603,"Purchasing agents, except wholesale, retail, & farm products",451038594.18181807,105279488.32239036
1845,"Hickory City PUMA, NC",71709126.50192338,Aircraft pilots & flight engineers,846023099.1,233771261.06901407
1846,"Newark City (North & East) PUMA, NJ",71694351.43600117,Financial managers,334848055.021978,186102768.20035145
1847,"St. George City PUMA, UT",71685683.85335328,Cardiovascular technologists and technicians,860362508.955224,155301057.0999721
1848,"Deltona & Lake Helen Cities PUMA, FL",71684896.74996951,Architectural & engineering managers,345130163.58778626,271146679.44610673
1849,"Flagler & Volusia (North Central) Counties PUMA, FL",71652353.22696966,Broadcast announcers and radio disc jockeys,975077515.6363636,96033138.16884615
1850,"Floyd, Polk & Haralson Counties PUMA, GA",71642360.28604454,Project management specialists,639022238.7966102,173582267.295105
1851,"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties PUMA, IA",71625638.68481866,Surgeons,827586806.4,571660495.1726127
1852,"Granite City, Alton, Wood River Cities & Godfrey Village PUMA, IL",71625227.96909913,Civil engineers,294653685.36,158104345.4689587
1853,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA, IL",71588407.33511207,Personal financial advisors,732840997.7959185,224327492.92839324
1854,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804607)",71584494.83949932,"Miscellaneous engineers, including nuclear engineers",460908500.70329666,174746885.31786102
1855,"Carlisle Borough PUMA, PA",71581297.66326362,Physicians,462776895.36263734,418213885.2623563
1856,"St. Lawrence County PUMA, NY",71576675.10791706,Nurse anesthetists,491635705.9384615,278728431.6744965
1857,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA, CA",71510889.19672115,Electrical powerline installers & repairers,319192862.88135594,132427637.0014905
1858,"Daviess & Hancock Counties PUMA, KY",71492583.69491223,Personal financial advisors,368726767.1612903,224327492.92839324
1859,"Garland City (South) PUMA, TX",71424719.2103438,Software developers,368726765.010989,212761855.70685202
1860,"Miami City (North) PUMA, FL",71383064.32023543,Chief executives & legislators,665547021.0393701,285675917.3191395
1861,"Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA, CA",71377668.83289137,Chief executives & legislators,425595025.8561151,285675917.3191395
1862,"Elmhurst & South Corona PUMA, NY",71376132.87659368,Civil engineers,450666077.0625,158104345.4689587
1863,"Albuquerque City (Central) & Bernalillo County (North Valley) PUMA, NM",71374807.91402483,Supervisors of personal care and service workers,706726369.5555555,60720095.27420595
1864,"Detroit City (South Central & Southeast) PUMA, MI",71288868.28216684,Chief executives & legislators,687788137.1004016,285675917.3191395
1865,"Linn & Benton Counties PUMA, OR",71234878.97168507,"Food processing workers, all other",835780663.4210525,56684211.327737816
1866,"Elyria & Lorain Cities PUMA, OH",71233765.45090576,Dentists,884944292.1818182,258225172.68799314
1867,"Northwest Wisconsin PUMA, WI",71205634.86634146,Physicians,567162004.1632653,418213885.2623563
1868,"Salem (North), Keizer Cities & Hayesville PUMA, OR",71197100.30683704,Supervisors of transportation & material moving workers,835780669.3333335,93376850.9302595
1869,"Wood, Portage, Juneau & Adams Counties PUMA, WI",71188793.13446075,Physicians,899283680.2702703,418213885.2623563
1870,"Sierra Vista City PUMA, AZ",71168001.81877065,Dentists,843974661.4499999,258225172.68799314
1871,"St. Landry & Evangeline Parishes PUMA, LA",71163186.9260645,Surgeons,794811021.2903227,571660495.1726127
1872,"Charlotte City (Northwest) PUMA, NC",71145288.18109384,Physicians,846023144.5217391,418213885.2623563
1873,"Canton & North Canton Cities PUMA, OH",71137067.2950053,Nurse anesthetists,405599444.03149605,278728431.6744965
1874,"Allen County PUMA, OH",71132713.4632048,"Conveyor operators & tenders, & hoist & winch operators",884944302.6857142,71971766.84930965
1875,"Scranton City, Dunmore, Old Forge, Taylor & Moosic Boroughs PUMA, PA",71098853.17117083,Surgeons,995562375.2195121,571660495.1726127
1876,"Great Falls City PUMA, MT",70985161.03385054,"Transportation, storage, & distribution managers",790714108.6666667,108572686.59123921
1877,"Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties PUMA, IN",70944699.87619483,Dentists,843974652.5294118,258225172.68799314
1878,"Clayton County (South) PUMA, GA",70942393.49351801,Dentists,964835090.4827586,258225172.68799314
1879,"Salina City PUMA, KS",70918942.0844022,Purchasing managers,331316630.9824561,149654481.25975567
1880,"Jacksonville City (North & West) PUMA, FL",70907194.63981406,Air traffic controllers & airfield operations specialists,297029905.9746835,147868770.2345238
1881,"Aurora Township PUMA, IL",70907143.00006351,Chemical engineers,348241952.3636364,193520353.50678676
1882,"Purchase Area Development District PUMA, KY",70893657.13776426,Physicians,815295872.7560439,418213885.2623563
1883,"Lexington-Fayette County (Central) PUMA, KY",70890098.59820406,Property appraisers and assessors,815295840.4363637,97989158.45697127
1884,"Storm Lake, Denison & Cherokee Region PUMA, IA",70887849.99480142,Construction managers,483614079.86915886,125294177.04186851
1885,"Northeast Louisiana PUMA, LA",70852972.75656666,"Lawyers, & judges, magistrates, & other judicial workers",381017653.7404581,251695543.47547695
1886,"Cincinnati City (West) PUMA, OH",70845277.62028153,Sales managers,358484366.2285714,215569207.83716124
1887,"College Park City & Langley Park PUMA, MD",70803948.09427267,"Television, video, & motion picture camera operators & editors",1028338045.1282052,77458074.27247986
1888,"Miramar (East), Hallandale Beach & West Park Cities PUMA, FL",70797314.68779275,"Property, real estate, & community association managers",345782811.3396226,102579153.7714318
1889,"Rural Oahu PUMA, HI",70783392.92754246,Aircraft pilots & flight engineers,619668865.9646019,233771261.06901407
1890,"Starkville, Columbus & West Point Cities PUMA, MS",70774546.64756007,Chief executives & legislators,686241525.0,285675917.3191395
1891,"Columbus City (West) PUMA, OH",70757676.09524876,Physicians,325708651.054054,418213885.2623563
1892,"Miami City (Downtown) PUMA, FL",70749381.41220821,Physician assistants,415509248.2051282,186531725.38923976
1893,"Surprise City (Central) PUMA, AZ",70728568.1144791,Software developers,364629817.9518072,212761855.70685202
1894,"Bloomington City PUMA, IN",70723195.5624732,Physicians,843974648.3149606,418213885.2623563
1895,"Birmingham City (East) PUMA, AL",70682144.53478804,Chief executives & legislators,499057534.7076923,285675917.3191395
1896,"Salt Lake City (West), West Valley City (West) & Magna PUMA, UT",70612143.52729572,"Production, planning, & expediting clerks",279532464.1875,87877993.96887249
1897,"Ionia, Montcalm, Mecosta & Osceola Counties PUMA, MI",70605427.92901868,Physicians,473199358.8,418213885.2623563
1898,"West Central Texas COG (Outside Taylor County) PUMA, TX",70595080.88534293,Property appraisers and assessors,698186226.5704225,97989158.45697127
1899,"Pender & New Hanover (North) Counties PUMA, NC",70573402.44360392,Physicians,474204024.9171975,418213885.2623563
1900,"Tooele & Box Elder Counties PUMA, UT",70566839.50348435,"Dispatchers, except police, fire, and ambulance",585917755.4430379,72052887.94431394
1901,"Carroll County PUMA, GA",70562265.26329002,Chief executives & legislators,470440187.1183674,285675917.3191395
1902,"Austin, Belmont Cragin & Montclare PUMA, IL",70559184.16303222,General & operations managers,512120555.4782608,159600529.72584003
1903,"Bowie & Cass Counties PUMA, TX",70495549.50659989,Physicians,550666022.6989619,418213885.2623563
1904,"Knox County (East) PUMA, TN",70492844.20687002,Electricians,467535913.5126051,88787210.78513621
1905,"Lenawee & Hillsdale Counties PUMA, MI",70482590.3909747,Software developers,874701860.6896551,212761855.70685202
1906,"Randolph County PUMA, NC",70472740.57053335,Personal financial advisors,846023116.9411764,224327492.92839324
1907,"Butte-Silver Bow & Helena City PUMA, MT",70457094.03344072,"News analysts, reporters, and journalists",790714076.5714285,111634981.52974543
1908,"Carteret, Beaufort & Pamlico Counties PUMA, NC",70446973.68148854,Surgeons,846023124.375,571660495.1726127
1909,"Ames City PUMA, IA",70412392.66796109,Dentists,827586785.9240507,258225172.68799314
1910,"Somerset, Bedford & Fulton Counties PUMA, PA",70387573.80735792,"Switchboard operators, including answering service",995562367.0,44096931.24610315
1911,"North Central & Northwest Nebraska PUMA, NE",70364000.77025549,"Food servers, nonrestaurant",880847346.2068965,29990456.455034666
1912,"Twentynine Palms & Barstow Cities PUMA, CA",70362870.73341146,"Sales representatives, wholesale & manufacturing",307272313.30151844,137353420.12825927
1913,"River Valley Regional Commission (Outside Muscogee & Chattahoochee Counties) PUMA, GA",70273003.72716394,Physicians,782252579.081081,418213885.2623563
1914,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA, CA",70264760.09957442,Physicians,990728232.2045454,418213885.2623563
1915,"Spartanburg City PUMA, SC",70263589.39915316,Surgeons,862410996.9230769,571660495.1726127
1916,"Buffalo Trace & Gateway Area Development Districts PUMA, KY",70226562.8830624,Property appraisers and assessors,815295877.1999999,97989158.45697127
1917,"Missoula City PUMA, MT",70215904.59509693,Aircraft pilots & flight engineers,699477863.6307691,233771261.06901407
1918,"Jackson County (North Central) PUMA, MO",70215808.9325799,General & operations managers,311060012.5616883,159600529.72584003
1919,"Deep East Texas COG (East) PUMA, TX",70212335.608114,Surgeons,958689688.3738317,571660495.1726127
1920,"Northeast Nebraska PUMA, NE",70209576.17419875,Industrial production managers,464595758.5056,156312696.47488225
1921,"Fulton County (Central)Atlanta City (Central) PUMA, GA",70198394.94787043,Personal financial advisors,512120533.5,224327492.92839324
1922,"Mission City PUMA, TX",70187061.72843373,"Lawyers, & judges, magistrates, & other judicial workers",594117538.9859154,251695543.47547695
1923,"Springfield City PUMA, MA",70148083.50919078,Magnetic resonance imaging technologists,357523070.3128491,203515513.71080974
1924,"Indiana & Armstrong Counties PUMA, PA",70140226.89661841,Occupational health and safety specialists and technicians,374872228.5,116337731.64945237
1925,"Inside Loop I-410 PUMA, TX (79500US4805904)",70125669.44929606,Lodging managers,958689679.0088497,90269501.88680838
1926,"Centre County PUMA, PA",70097691.73445007,Coaches and scouts,995562330.2970296,46725549.10808012
1927,"Southeast Arkansas PUMA, AR",70090966.73621714,Industrial production managers,864459492.9,156312696.47488225
1928,"Stephenson & Ogle Counties PUMA, IL",70066552.25894552,Software developers,270919267.87317073,212761855.70685202
1929,"Denton (Central) & Corinth Cities PUMA, TX",70053163.93205008,Reservation & transportation ticket agents & travel clerks,958689650.2564102,68162467.1715784
1930,"Mifflin, Union, Snyder & Juniata Counties PUMA, PA",70031416.49481782,Cost estimators,413855484.72727275,119224414.19934453
1931,"Tuscarawas & Harrison Counties PUMA, OH",70028858.2578896,Physicians,491635700.1777778,418213885.2623563
1932,"Grafton & Coos Counties PUMA, NH",69993538.78727968,Surgeons,614544628.754717,571660495.1726127
1933,"Clarksville City PUMA, TN",69983217.56468797,Dentists,734955455.297561,258225172.68799314
1934,"Lowndes CountyValdosta City PUMA, GA",69975479.72261712,Physicians,772215688.4848485,418213885.2623563
1935,"Surry, Wilkes & Alleghany Counties PUMA, NC",69862953.40113598,Civil engineers,471150897.39759034,158104345.4689587
1936,"Southwest Region PUMA, MS",69839684.6881251,"Derrick, rotary drill, & service unit operators, & roustabouts, oil, gas, & mining",686241548.1526717,120064789.82513565
1937,"Milwaukee City (Central) PUMA, WI",69822979.08255963,"Securities, commodities, & financial services sales agents",409696434.8344372,235476111.74532747
1938,"Greenville City PUMA, NC",69819756.59630938,Mechanical engineers,427200305.67452824,157560862.9943854
1939,"Yuma City PUMA, AZ",69812081.96271035,Diagnostic medical sonographers,843974655.8333335,149349949.37101868
1940,"Fresno City (Southeast) PUMA, CA",69780495.19699275,Database administrators and architects,409696437.7297298,160590098.08927423
1941,"Genesee County (Central, Outside Flint City) PUMA, MI",69779345.2472512,Chief executives & legislators,874701811.3274336,285675917.3191395
1942,"Nueces County (Central)Corpus Christi City (North Central) PUMA, TX",69779243.61685506,Physicians,615008336.7162162,418213885.2623563
1943,"Big Sandy Area Development District PUMA, KY",69761874.74922054,Surgeons,815295881.5483872,571660495.1726127
1944,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA, OR",69712693.65373391,Surgeons,835780687.6734695,571660495.1726127
1945,"Winston-Salem City (South) PUMA, NC",69671603.32291979,Chief executives & legislators,347547563.08474576,285675917.3191395
1946,"Fort Wayne City (South) PUMA, IN",69643350.24832386,Physicians,598749010.0236967,418213885.2623563
1947,"Glendale City (South) PUMA, AZ",69642267.26702894,Chemists & materials scientists,364629821.1999999,144884554.49300033
1948,"Van Zandt, Wood, Camp & Rains Counties PUMA, TX",69640027.66331643,Physicians,505947805.6,418213885.2623563
1949,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA, AL",69584249.88096847,Sheet metal workers,800956519.3692946,72595416.73806903
1950,"Muskingum & Perry Counties PUMA, OH",69567981.50913213,Compliance officers,884944283.4285713,138642660.40675443
1951,"Bibb CountyMacon City PUMA, GA",69558171.02592766,Physicians,518025637.56799996,418213885.2623563
1952,"Concourse, Highbridge & Mount Eden PUMA, NY",69547417.85042487,Other financial specialists,245817857.53293413,198319233.27190593
1953,"Decatur City PUMA, AL",69501455.11439998,Other financial specialists,307272315.2857143,198319233.27190593
1954,"Craven County PUMA, NC",69444299.2886395,Personal financial advisors,846023097.442623,224327492.92839324
1955,"Lawton City PUMA, OK",69397298.40760817,Surgeons,846023108.2909092,571660495.1726127
1956,"Deep East Texas COG (West) & Walker County PUMA, TX",69392637.32009174,Credit counselors & loan officers,958689619.84,137235832.17932606
1957,"Polk County (Northeast) PUMA, FL",69382060.39595261,Cardiovascular technologists and technicians,975077504.8235295,155301057.0999721
1958,"Northeast Missouri PUMA, MO",69380085.50912882,Nuclear medicine technologists and medical dosimetrists,852168591.2727274,268817089.05138195
1959,"Fayetteville City (Central & East) PUMA, NC",69339333.93921737,Helpersproduction workers,489024512.566265,35317468.06436979
1960,"Greater Largo City PUMA, FL",69317899.57748315,General & operations managers,436430861.84745765,159600529.72584003
1961,"Kalispell City PUMA, MT",69316208.89838494,Physicians,623829343.8311688,418213885.2623563
1962,"Central Shenandoah Planning District Commission (Southwest) PUMA, VA",69311377.62651254,Entertainment and recreation managers,1024241086.8235295,100365171.78857683
1963,"Georgia Mountains Regional Commission (Southeast) PUMA, GA",69311370.632489,Aircraft pilots & flight engineers,964835069.4339622,233771261.06901407
1964,"Greater North Las Vegas City PUMA, NV",69268020.83105232,Architectural & engineering managers,294981448.04347825,271146679.44610673
1965,"Highland, Clinton & Adams Counties PUMA, OH",69262396.6093932,Physicians,667691395.1041666,418213885.2623563
1966,"South & West Albemarle Sound & Northern Outer Banks Regions PUMA, NC",69244268.39381032,Physicians,846023121.7959185,418213885.2623563
1967,"South Central Nebraska PUMA, NE",69218304.19365247,Chief executives & legislators,325323014.63013697,285675917.3191395
1968,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA, AL",69211648.58449408,Software quality assurance analysts and testers,800956558.3076923,135772237.72093818
1969,"Cleveland City (West) PUMA, OH",69137641.64784819,"Lawyers, & judges, magistrates, & other judicial workers",432229732.3580562,251695543.47547695
1970,"Etowah County PUMA, AL",69122717.0428678,Nurse practitioners & nurse midwives,601364514.2945737,176369664.75898403
1971,"FIVCO Area Development District PUMA, KY",69106732.59313737,Physicians,815295878.7376426,418213885.2623563
1972,"Valencia, Bernalillo (East Mountains) Counties & Isleta Pueblo PUMA, NM",69077929.1323257,Surgeons,706726329.2307694,571660495.1726127
1973,"Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA, CA",69028636.25666043,Physicians,594059825.6,418213885.2623563
1974,"Colquitt, Thomas & Worth Counties PUMA, GA",69008443.13985492,Chief executives & legislators,364436478.6202247,285675917.3191395
1975,"San Bernardino City (East) PUMA, CA",68975390.77542645,Physicians,414039964.5694445,418213885.2623563
1976,"Calhoun & Barry Counties PUMA, MI",68963818.14906228,Aircraft pilots & flight engineers,481393292.3428571,233771261.06901407
1977,"Knoxville City PUMA, TN",68958228.893303,Physicians,767046877.9709619,418213885.2623563
1978,"Detroit City (North Central) PUMA, MI",68954918.19006713,"Maintenance workers, machinery",358484364.0888889,86520468.37213516
1979,"Des Moines, Lee, Henry & Louisa Counties PUMA, IA",68946837.56684013,Dentists,370564747.1146245,258225172.68799314
1980,"Bulloch, Effingham & Screven Counties PUMA, GA",68941323.95619439,Diagnostic medical sonographers,409696438.5217391,149349949.37101868
1981,"Harlingen & San Benito Cities PUMA, TX",68931118.8757756,Chief executives & legislators,958689691.7333333,285675917.3191395
1982,"Pasadena City (North & Central)Inside Beltway TX-8 PUMA, TX",68921892.93506233,Civil engineers,485490233.3513513,158104345.4689587
1983,"Clark County PUMA, OH",68916906.97288372,Computer & information systems managers,568282192.8324325,207310144.3027507
1984,"Bedford Park, Fordham North & Norwood PUMA, NY",68905601.84961018,Emergency medical technicians,471150891.5172414,66609175.362450466
1985,"Coffee, Franklin, Lincoln & Moore Counties PUMA, TN",68901546.6969319,Physicians,901332169.3617021,418213885.2623563
1986,"Washington (South) & Greene Counties PUMA, PA",68868237.39049137,Marketing managers,676231003.5849057,170966876.03049782
1987,"Easley & Clemson Cities PUMA, SC",68862640.63634057,Landscape architects,862410996.9230769,106835028.21288317
1988,"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA, WA",68825566.89320403,Personal financial advisors,1067259319.1999999,224327492.92839324
1989,"San Diego City (South/Otay Mesa & South Bay) PUMA, CA",68755005.74519658,Physical therapists,307272304.67796606,127192463.74649844
1990,"Marion County (South Central) PUMA, FL",68742370.4477338,Chiropractors,975077568.3440859,119155080.62719586
1991,"Southwest Nebraska PUMA, NE",68742242.59643102,Physicians,526686030.1948052,418213885.2623563
1992,"Davidson County PUMA, NC",68728011.83790079,"Industrial engineers, including health & safety",846023151.3931035,147532692.77462214
1993,"Pope, Johnson, Yell, Conway & Perry Counties PUMA, AR",68658494.2848398,Tellers,864459452.9302326,40025711.3711459
1994,"Jefferson, Jennings, Decatur & Scott Counties PUMA, IN",68656344.13120796,Printing press operators,276545090.4230769,59225706.119924046
1995,"Lauderdale, Newton & Clarke CountiesMeridian City PUMA, MS",68636626.48955365,Physicians,439290789.49999994,418213885.2623563
1996,"Irving (South) & Grand Prairie (North) Cities PUMA, TX",68567564.25598484,Aircraft pilots & flight engineers,473199373.77777785,233771261.06901407
1997,"Central Nebraska PUMA, NE",68499578.57553092,Dentists,880847346.2068965,258225172.68799314
