,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
1888,"San Diego City (Central/Clairemont & Kearny Mesa) PUMA, CA",48310.78257007939,Financial analysts,572399.8222222222,99633.71762472302,5.1937686682521225
1106,"Kenosha County PUMA, WI",48310.33095713152,"Miscellaneous engineers, including nuclear engineers",444749.60869565216,86422.79194750793,4.9288727871154565
1547,"Northwest Las Vegas Valley PUMA, NV",48299.9361200842,"Lawyers, & judges, magistrates, & other judicial workers",323943.07867132867,124478.50814810928,5.096477021817399
1830,"Rochester City PUMA, MN",48294.20307067569,Surgeons,493378.26548672566,282720.32402206364,4.998087497917445
927,"Henderson City (West) PUMA, NV",48277.58005375669,"Meeting, convention, & event planners",467037.7272727273,36565.28803457047,5.236979959465942
692,"Ewa PUMA, HI",48274.29842457593,Facilities managers,156016.93181818182,63234.3637466893,5.1443020077486885
1744,"Portage Park, Dunning & Jefferson Park PUMA, IL",48261.27735123322,Surgeons,550111.7101449275,282720.32402206364,4.999903143179456
146,"Bellevue City PUMA, NE",48246.44541682245,"Subway, streetcar, & other rail transportation workers",435631.7419354839,47802.9807478361,5.144748605965311
1146,"LA City (Northwest/Encino & Tarzana) PUMA, CA",48245.305896675236,Other Physical Scientists,572399.8,73811.74773838854,5.041698089662713
1102,"Kendall & Grundy Counties PUMA, IL",48230.46729905516,Credit counselors & loan officers,550111.7037037037,67871.33144378143,4.956469680410668
1695,"Phoenix (Far North) & Peoria (Northwest) Cities PUMA, AZ",48174.80604129415,Counter & rental clerks,202619.4084507042,21224.121135503043,4.98271029524234
1678,"Petaluma, Rohnert Park & Cotati Cities PUMA, CA",48166.51265863051,"Securities, commodities, & financial services sales agents",202619.40331491712,116457.02855852002,5.007464281879565
700,"Fallbrook, Alpine & Valley Center PUMA, CA",48155.54863159119,Other Physical Scientists,572399.8260869565,73811.74773838854,4.850439171154731
1572,"Ocean City & Somers Point City PUMA, NJ",48142.34160175427,Financial analysts,645342.8,99633.71762472302,4.8912361814786225
1820,"River Parishes PUMA, LA",48128.82953535633,Firstline supervisors of police & detectives,393081.6285714286,72515.40418093909,4.8705300643629315
1953,"Seminole County (West) PUMA, FL",48126.890858024046,Dentists,482234.1860465116,127707.80053807772,4.964965603239962
285,"Cambridge City PUMA, MA",48115.187182924645,Dentists,291135.9708029197,127707.80053807772,4.994394170158555
722,"Flushing, Murray Hill & Whitestone PUMA, NY",48050.9749867097,Other financial specialists,433935.5429864253,98080.72862112064,5.1596199581989755
2086,"St. Tammany Parish (Northwest) PUMA, LA",47987.614809963045,Financial analysts,393081.6271186441,99633.71762472302,4.855248268812452
2018,"South of US-59, West of I-45 & Inside Loop I-610 PUMA, TX",47982.04927331259,Other financial specialists,474129.41818181815,98080.72862112064,4.832856215611764
2052,"St. Charles County (Northwest) PUMA, MO",47969.44016122192,Aircraft pilots & flight engineers,421448.3595505618,115613.87787785068,5.0193036224838865
875,"Guilford, Roland Park & Druid Lake PUMA, MD",47964.75150347055,Architectural & engineering managers,508574.6666666667,134098.2588754237,4.881479412757064
954,"Hillsborough County (Northwest) PUMA, FL",47961.42946340943,Other financial specialists,482234.1666666667,98080.72862112064,5.069768420785636
1804,"Revere, Chelsea & Winthrop Town Cities PUMA, MA",47946.81076715363,Chief executives & legislators,628120.1481481482,141283.83645852594,4.945393166792127
2152,"Thomas Jefferson Planning District Commission (South & East) PUMA, VA",47939.5318311667,"Agents & business managers of artists, performers, & athletes",506548.5037037037,52365.18566942112,4.964862476768741
527,"Davenport City PUMA, IA",47923.651797418934,Insurance sales agents,364963.61010830326,53854.68649385349,4.952834672729351
228,"Bridgeton City PUMA, NJ",47902.72325080085,Surgeons,427565.90769230766,282720.32402206364,4.964745628798006
68,"Ashburn, Washington Heights, Morgan Park & Beverly PUMA, IL",47897.34208595423,Financial analysts,550111.6842105263,99633.71762472302,4.84746567414151
1391,"Milwaukee County (South) PUMA, WI",47890.46931554927,"Property, real estate, & community association managers",444749.6,50731.530055109695,4.715425255243934
57,"Arden-Arcade, Carmichael & Fair Oaks (West) PUMA, CA",47890.013764661526,Physicians,236782.89154929575,206831.79290917717,5.1120724107457125
55,"Arapahoe (East) & Adams (East) CountiesAurora City (Northeast) PUMA, CO",47871.94809593747,"Lawyers, & judges, magistrates, & other judicial workers",372404.98245614034,124478.50814810928,5.111737695104028
1180,"Lakeside, Winter Gardens & Ramona PUMA, CA",47849.681635833105,Marketing managers,572399.8,84553.35115257063,4.947711854300438
888,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA, CT",47813.71099497246,Facilities managers,198567.0188679245,63234.3637466893,5.06215255291361
435,"Cobb County (Northwest)Kennesaw & Acworth Cities PUMA, GA",47802.17491693615,Other teachers and instructors,318197.38241758244,27488.37442010176,4.9866886002388595
0,"Aberdeen & Havre de Grace Cities PUMA, MD",47793.45260183576,Aerospace engineers,162095.51315789475,93327.5642780684,5.039704412648102
1719,"Plainfield & Lockport Townships PUMA, IL",47771.44751304055,"Inspectors, testers, sorters, samplers, & weighers",214604.90277777775,35233.93772157667,5.044439349039125
85,"Austin City (Central) PUMA, TX",47770.82568859064,Physicians,402727.4683098592,206831.79290917717,5.045109994669696
1030,"Irvington, Ten Hills & Cherry Hill PUMA, MD",47746.71650406001,Surgeons,508574.6896551724,282720.32402206364,4.925676952995414
1051,"Jacksonville City (Beaches) PUMA, FL",47725.879779417584,Graphic designers,253274.2608695652,38353.11703256923,5.218871909305403
1657,"Pasco County (South) PUMA, FL",47644.623986574436,Sales managers,325662.1774647887,106611.873312147,5.0877052925704485
2332,"Will County (South) PUMA, IL",47642.9118480838,"Brickmasons, blockmasons, stonemasons, & reinforcing iron & rebar workers",180331.2577319588,26789.74188062917,5.063672155210056
390,"Chicopee City PUMA, MA",47579.22840209044,Physician assistants,628120.1304347826,92251.10058815022,4.966917095193232
1315,"Marysville & Arlington Cities PUMA, WA",47552.40108513812,Personal financial advisors,298302.3040540541,110943.36940078795,5.189494492596677
233,"Bristol, Southington & Burlington Towns PUMA, CT",47540.46473401606,Construction managers,253274.25714285715,61965.46836887661,5.047847089212111
1025,"Irvine City (Central) PUMA, CA",47522.038281530884,Surgeons,572399.8228782287,282720.32402206364,5.094973717455568
1779,"Raleigh City (South & Central) PUMA, NC",47520.2149619126,Dentists,418409.0740740741,127707.80053807772,4.974015852658079
40,"Anchorage Municipality (North) PUMA, AK",47515.432775135836,Project management specialists,444749.5802469136,85846.81864248517,4.713723259980981
1126,"Koolaupoko PUMA, HI",47493.49370899291,Surgeons,408278.0975609756,282720.32402206364,5.0544796352957535
1641,"Palm Beach Gardens & Riviera Beach Cities PUMA, FL",47492.98698519392,Actuaries,482234.1941747573,131082.8818200338,4.957553280426308
2044,"Spring Valley, Suffern Villages & Monsey PUMA, NY",47490.74813419703,Parts salespersons,668644.0,31610.204685323344,4.46787181332423
1721,"Plano City (Central) PUMA, TX",47488.39289351979,"Miscellaneous engineers, including nuclear engineers",251430.191011236,86422.79194750793,5.085658492695357
1990,"Somerville & Everett Cities PUMA, MA",47449.55260603715,Nurse anesthetists,212750.3698630137,137847.88905761446,5.166009275168278
1590,"Omaha City (Northwest) PUMA, NE",47424.016957396794,Physicians,358094.15351812367,206831.79290917717,5.112242430397141
1054,"Jacksonville City (Southeast River) PUMA, FL",47422.55232207426,Radiologic technologists and technicians,292600.8333333333,56736.64149052558,5.068822206442708
1640,"Palm Beach County (West of Boca Raton City) PUMA, FL",47421.221053656016,Public relations and fundraising managers,276910.0,74606.32962434617,4.903088454540249
69,"Asheville City PUMA, NC",47409.814963778765,"Securities, commodities, & financial services sales agents",418409.08,116457.02855852002,4.934476891243936
2106,"Sullivan & Ulster (West) Counties PUMA, NY",47388.4109469355,Social & community service managers,316322.4238410596,53910.81155826022,4.834387782306708
339,"Cedar Rapids City PUMA, IA",47387.929022967764,Supervisors of transportation & material moving workers,409291.1961722488,46180.44061832814,5.161984509824316
479,"Commerce City & Brighton Cities PUMA, CO",47359.703001232556,Audiologists,504522.3243243243,61989.37370088788,5.127700572975922
2325,"Whittier City & Hacienda Heights PUMA, CA",47355.36159949307,"Miscellaneous first-line supervisors, protective service workers",572399.8232044199,56702.29217997607,5.195234494511115
405,"Claremore City PUMA, OK",47352.18755459993,Physicians,418409.061452514,206831.79290917717,4.87986428622157
1959,"Sharonville, Blue Ash, Springdale & Reading Cities PUMA, OH",47343.84963359944,Surgeons,437657.9145907473,282720.32402206364,4.947517892337916
897,"Hanover & Schaumburg (Northwest) Townships PUMA, IL",47287.282381762576,Architectural & engineering managers,550111.68,134098.2588754237,4.958501920199612
1602,"Orange County (Northwest) PUMA, NY",47286.67223656844,Surgeons,481600.1156462585,282720.32402206364,4.946782261423189
1760,"Proviso, Riverside & River Forest Townships PUMA, IL",47284.62398198337,"Legal support workers, all other",550111.6962025317,51851.69868932738,5.021629176112669
1475,"New Carrollton & Hyattsville (Southeast) Cities PUMA, MD",47279.21014328667,Physicians,508574.679245283,206831.79290917717,5.0629478435485185
489,"Coral Springs & Parkland Cities PUMA, FL",47277.575105338015,Aircraft pilots & flight engineers,288502.4015151515,115613.87787785068,5.090191616950263
319,"Carson City PUMA, CA",47263.59816911965,Athletes and sports competitors,324191.0181818182,46411.686201251,5.058595179850048
1575,"Ocean County (South) PUMA, NJ",47260.947655491065,Physician assistants,645342.8205128205,92251.10058815022,4.818965215220154
764,"Fullerton & Placentia Cities PUMA, CA",47244.978191928494,Architectural & engineering managers,272441.5254237288,134098.2588754237,5.266708520545695
977,"Howard Beach & Ozone Park PUMA, NY",47235.571228425804,Other assemblers and fabricators,469453.5512820513,28336.09847510464,4.922962864792749
1782,"Rancho Cordova City PUMA, CA",47223.228959186024,Magnetic resonance imaging technologists,314060.0634920635,100650.60025262598,5.1027207707757025
1185,"Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA, CA",47214.51179681758,Nurse practitioners & nurse midwives,212750.3698630137,87225.35349109002,5.190985701777825
1832,"Rock Hill City & Fort Mill Town PUMA, SC",47200.36607567532,Physician assistants,426513.85074626864,92251.10058815022,5.050757638625676
538,"DeKalb County (Northeast)Tucker PUMA, GA",47199.453836239096,Millwrights,477168.7010309278,50292.34811300116,5.193161942126317
1114,"Kernersville Town & Clemmons Village PUMA, NC",47195.3934428688,Radiologic technologists and technicians,418409.0606060606,56736.64149052558,5.122685348136864
704,"Farmington & Southfield Area PUMA, MI",47165.62756135485,Veterinarians,432592.4126984127,84868.11662911795,5.051550428078248
118,"Baton Rouge City PUMA, LA",47164.86386040441,"Human resources assistants, except payroll & timekeeping",393081.6344086021,34415.54164961781,4.903211678538223
1326,"McHenry County (North, West & Central) PUMA, IL",47149.18269218789,"Sales representatives of services, except advertising, insurance, financial services, and travel",243980.4835164835,75405.68465396445,5.0632027925413565
2157,"Thurston County (Outer) PUMA, WA",47131.59677321626,Physicians,220206.3146067416,206831.79290917717,4.997417870835741
1608,"Oregon City, Milwaukie & Happy Valley Cities PUMA, OR",47116.99000469548,Firstline supervisors of nonretail sales workers,245804.0035587189,70776.29211066732,5.214430807322569
2258,"Washoe County (South) PUMA, NV",47050.66322512403,Dentists,467037.7142857143,127707.80053807772,4.984760395047381
784,"Garner (South) & Fuquay-Varina Towns PUMA, NC",46997.47482171626,"Securities, commodities, & financial services sales agents",418409.0746268657,116457.02855852002,4.981654643849221
918,"Hempstead Town (North Central)Meadowbrook Corridor PUMA, NY",46991.99055874062,Coaches and scouts,299596.4893617021,23108.58017214645,4.929142866649647
1108,"Kent County (North) PUMA, MI",46973.3929499958,Sales managers,283853.9375,106611.873312147,4.852424345388972
2084,"St. Petersburg City (East) PUMA, FL",46972.08741617546,Optometrists,482234.1754385965,91038.6455644665,5.138311759891797
2312,"Westminster, Stanton & Garden Grove (West) Cities PUMA, CA",46966.95642173095,Electrical & electronics engineers,263405.2287581699,86776.8579969871,5.232943071221354
1428,"Montgomery County (West)Conroe City (West) PUMA, TX",46960.63973261365,Physicians,360356.6867924528,206831.79290917717,4.905526068712776
1240,"Lindenwold & Collingswood Boroughs PUMA, NJ",46943.646474462665,Manicurists and pedicurists,353408.5612244898,16111.591951102404,5.198247877111399
816,"Graham, Elk Plain & Prairie Ridge PUMA, WA",46932.962623878026,Industrial production managers,228959.92307692303,77305.98243070339,5.080235753935246
317,"Carroll County PUMA, MD",46912.50027335921,Dentists,190089.45774647887,127707.80053807772,5.223310699792137
452,"Colorado Springs City (West) PUMA, CO",46912.20695777173,Surgeons,504522.3209876543,282720.32402206364,4.859803739442566
272,"Bushwick PUMA, NY",46903.739343762296,"Educational, guidance, and career counselors and advisors",361139.2764705882,42271.27930216287,4.949908506808723
848,"Greater Seminole City PUMA, FL",46902.25075915819,Physicians,310996.577689243,206831.79290917717,5.105073946922814
104,"Bakersfield City (West) PUMA, CA",46900.64101199484,Financial analysts,572399.7887788779,99633.71762472302,5.027161115042403
189,"Bloomington & Richfield Cities PUMA, MN",46885.86731987993,Architectural and civil drafters,164121.72727272726,47426.37505773672,4.9747793632255455
1742,"Port Richmond, Stapleton & Mariner's Harbor PUMA, NY",46875.358050974144,Fundraisers,176278.88333333333,52283.03605469805,5.205215528871337
1711,"Pima County (Northeast) PUMA, AZ",46870.017518640154,Surgeons,417395.9607843137,282720.32402206364,4.8145965602776135
1786,"Randallstown (East), Owings Mills, Milford Mill & Reisterstown PUMA, MD",46865.67153847429,Veterinarians,283667.1703703704,84868.11662911795,4.802693917924926
1248,"Livingston & St. Helena Parishes PUMA, LA",46858.26807594684,Sales managers,393081.6428571429,106611.873312147,4.833327327489937
